merchant_id;sample_order_count;consents;created_at;review;shops
7139534;0;{"terms_of_service":{"agreed_at":"2020-05-16 19:23:05","agreed":true},"privacy_policy":{"agreed_at":"2020-05-16 19:23:05","agreed":true},"intellectual_property":{"agreed_at":"2020-05-16 19:23:05","agreed":true}};Sat May 16 2020 22:23:05 GMT+0300 (EEST);{"skipped":{"products":0,"orders":0},"ratings":[],"shared":false,"updated":false,"type":"B"};[{"shop_id":"1711418","shop_data":{"branding":{"brand":"Chocolate Girl Big World ","countries":[{"code":"US"},{"code":"GB"},{"code":"DE"}]},"import":{"setting":1},"orders_routing":{"enabled":false,"max_item_price_increase":200,"only_same_blueprint":false,"strict_colors":false}}}]
7119467;0;{"terms_of_service":{"agreed_at":"2020-05-03 04:30:23","agreed":true},"privacy_policy":{"agreed_at":"2020-05-03 04:30:23","agreed":true},"intellectual_property":{"agreed_at":"2020-05-03 04:30:23","agreed":true}};Sun May 03 2020 07:30:23 GMT+0300 (EEST);{"skipped":{"products":0,"orders":0},"ratings":[],"shared":false,"updated":false,"type":"A"};[{"shop_id":"1685517","shop_data":{"branding":{"brand":"I day last night  (IDLN)","countries":[{"code":"US"},{"code":"GB"},{"code":"DE"}]},"import":{"setting":1},"orders_routing":{"enabled":false,"max_item_price_increase":200,"only_same_blueprint":false,"strict_colors":false}}},{"shop_id":"1685527","shop_data":{"branding":{"brand":"I day last night  (IDLN)","countries":[{"code":"US"},{"code":"GB"},{"code":"DE"}]},"import":{"setting":1},"orders_routing":{"enabled":false,"max_item_price_increase":200,"only_same_blueprint":false,"strict_colors":false}}},{"shop_id":"1685528","shop_data":{"branding":{"brand":"I day last night  (IDLN)","countries":[{"code":"US"},{"code":"GB"},{"code":"DE"}]},"import":{"setting":1},"orders_routing":{"enabled":false,"max_item_price_increase":200,"only_same_blueprint":false,"strict_colors":false}}},{"shop_id":"1685529","shop_data":{"branding":{"brand":"I day last night  (IDLN)","countries":[{"code":"US"},{"code":"GB"},{"code":"DE"}]},"import":{"setting":1},"orders_routing":{"enabled":false,"max_item_price_increase":200,"only_same_blueprint":false,"strict_colors":false}}},{"shop_id":"1685530","shop_data":{"branding":{"brand":"I day last night  (IDLN)","countries":[{"code":"US"},{"code":"GB"},{"code":"DE"}]},"import":{"setting":1},"orders_routing":{"enabled":false,"max_item_price_increase":200,"only_same_blueprint":false,"strict_colors":false}}}]
7112818;0;{"terms_of_service":{"agreed_at":"2020-04-28 19:21:40","agreed":true},"privacy_policy":{"agreed_at":"2020-04-28 19:21:40","agreed":true},"intellectual_property":{"agreed_at":"2020-04-28 19:21:40","agreed":true}};Tue Apr 28 2020 22:21:40 GMT+0300 (EEST);{"skipped":{"products":0,"orders":0},"ratings":[],"shared":false,"updated":false,"type":"A"};[{"shop_id":"1677167","shop_data":{"branding":{"brand":"My new store","countries":[{"code":"US"},{"code":"GB"},{"code":"DE"}]},"import":{"setting":1},"orders_routing":{"enabled":false,"max_item_price_increase":200,"only_same_blueprint":false,"strict_colors":false}}}]
7323858;0;{"terms_of_service":{"agreed_at":"2020-08-18 21:32:54","agreed":true},"privacy_policy":{"agreed_at":"2020-08-18 21:32:54","agreed":true},"intellectual_property":{"agreed_at":"2020-08-18 21:32:54","agreed":true}};Wed Aug 19 2020 00:32:54 GMT+0300 (EEST);{"skipped":{"products":0,"orders":0},"ratings":[],"shared":false,"updated":false,"type":"B"};[{"shop_id":"1944343","shop_data":{"branding":{"brand":"My new store","countries":[{"code":"US"},{"code":"GB"},{"code":"DE"}]},"import":{"setting":1},"orders_routing":{"enabled":false,"max_item_price_increase":200,"only_same_blueprint":false,"strict_colors":false}}}]
7098664;0;{"terms_of_service":{"agreed_at":"2020-04-18 20:49:09","agreed":true},"privacy_policy":{"agreed_at":"2020-04-18 20:49:09","agreed":true},"intellectual_property":{"agreed_at":"2020-04-18 20:49:09","agreed":true}};Sat Apr 18 2020 23:49:09 GMT+0300 (EEST);{"skipped":{"products":0,"orders":0},"ratings":[],"shared":false,"updated":false,"type":"B"};[{"shop_id":"1659135","shop_data":{"branding":{"brand":"My new store","countries":[{"code":"US"},{"code":"GB"},{"code":"DE"}]},"import":{"setting":1},"orders_routing":{"enabled":false,"max_item_price_increase":200,"only_same_blueprint":false,"strict_colors":false}}}]
7286943;0;{"terms_of_service":{"agreed_at":"2020-08-05 01:14:50","agreed":true},"privacy_policy":{"agreed_at":"2020-08-05 01:14:50","agreed":true},"intellectual_property":{"agreed_at":"2020-08-05 01:14:50","agreed":true}};Wed Aug 05 2020 04:14:50 GMT+0300 (EEST);{"skipped":{"products":8,"orders":0},"ratings":[{"created_at":1596765623,"rating":3,"feedback":"I love that Printify is connected to Etsy, so you can sell your designs on Etsy. But I wish you upload and edit multiple products at the same time, like you can do on a few other POD sites. So it takes me longer. Therefore I gave it 3 stars for that. However, uploading designs is very fast and easy. "}],"shared":false,"updated":1596765623,"type":"B"};[{"shop_id":"1900162","shop_data":{"branding":{"brand":"Bliss Studio by Kat OM","countries":[{"code":"US"},{"code":"GB"},{"code":"DE"}]},"import":{"setting":1},"orders_routing":{"enabled":false,"max_item_price_increase":200,"only_same_blueprint":false,"strict_colors":false}}}]
7076016;0;{"terms_of_service":{"agreed_at":"2020-03-31 05:29:33","agreed":true},"privacy_policy":{"agreed_at":"2020-03-31 05:29:33","agreed":true},"intellectual_property":{"agreed_at":"2020-03-31 05:29:33","agreed":true}};Tue Mar 31 2020 08:29:33 GMT+0300 (EEST);{"skipped":{"products":0,"orders":0},"ratings":[],"shared":false,"updated":false,"type":"A"};[{"shop_id":"1630062","shop_data":{"branding":{"brand":"My new store","countries":[{"code":"US"},{"code":"GB"},{"code":"DE"}]},"import":{"setting":1},"orders_routing":{"enabled":false,"only_same_blueprint":false,"strict_colors":false,"max_item_price_increase":200}}}]
7157580;0;{"terms_of_service":{"agreed_at":"2020-05-29 09:18:50","agreed":true},"privacy_policy":{"agreed_at":"2020-05-29 09:18:50","agreed":true},"intellectual_property":{"agreed_at":"2020-05-29 09:18:50","agreed":true}};Fri May 29 2020 12:18:45 GMT+0300 (EEST);{"skipped":{"products":0,"orders":0},"ratings":[],"shared":false,"updated":false,"type":"B"};[{"shop_id":"1734678","shop_data":{"branding":{"brand":"Skull Roll","countries":[{"code":"US"},{"code":"GB"},{"code":"DE"}]},"import":{"setting":1},"orders_routing":{"enabled":false,"max_item_price_increase":200,"only_same_blueprint":false,"strict_colors":false}}}]
7149912;0;{"terms_of_service":{"agreed_at":"2020-05-24 03:05:22","agreed":true},"privacy_policy":{"agreed_at":"2020-05-24 03:05:22","agreed":true},"intellectual_property":{"agreed_at":"2020-05-24 03:05:22","agreed":true}};Sun May 24 2020 06:05:22 GMT+0300 (EEST);{"skipped":{"products":0,"orders":0},"ratings":[],"shared":false,"updated":false,"type":"A"};[{"shop_id":"1724852","shop_data":{"branding":{"brand":"My new store","countries":[{"code":"US"},{"code":"GB"},{"code":"DE"}]},"import":{"setting":1},"orders_routing":{"enabled":false,"max_item_price_increase":200,"only_same_blueprint":false,"strict_colors":false}}}]
7056588;4;{"terms_of_service":{"agreed_at":"2020-03-15 21:45:11","agreed":true},"privacy_policy":{"agreed_at":"2020-03-15 21:45:11","agreed":true},"intellectual_property":{"agreed_at":"2020-03-15 21:45:11","agreed":true}};Sun Mar 15 2020 23:45:11 GMT+0200 (EET);{"skipped":{"products":17,"orders":4},"ratings":[],"shared":false,"updated":1592681409,"type":"B"};[{"shop_id":"1605441","shop_data":{"branding":{"brand":"Wave Digital Studios","countries":[{"code":"US"},{"code":"GB"},{"code":"DE"}]},"import":{"setting":1},"orders_routing":{"enabled":false,"max_item_price_increase":200,"only_same_blueprint":false,"strict_colors":false}}}]
