order_id,print_provider_id,print_provider_sku,quantity
1145778.4355,3,3001_MAROON_3XL,1
1642292.5979,29,022-008-005,1
1642292.5979,3,3001_HEATHER_RED_2XL,1
1425796.165,41,721-M-NAV-03L-00609,1
1789574.199,41,721-Y-BLK-1XL-30370,1
549663.498,29,002-004-002,1
1909050.209,1,4x4-white,1
1365112.693,10,PRT-GEN-SW23FI,1
1834033.375,3,3001_VINTAGE_BLACK_L,1
1674237.4053,29,005-009-002,1
1783970.29,3,18000_SPORT_GREY_S,1
1837607.29,10,20596,1
1814585.223,10,20596,1
202766.225,1,mug15oz,1
1687462.32,3,5000_NAVY_M,1
1280396.20626,29,001-002-002,1
1394039.1901,9,PR_11oz_Mug,1
1857286.131,10,20596,1
1748212.298,10,20596,1
1720307.1188,3,5000_BLACK_S,1
1734809.756,2,3424,1
1548817.6,29,001-004-004,1
1548817.6,29,001-002-004,1
1548817.6,16,84,1
1548817.6,1,sock-large,1
1548817.6,1,sock-large,1
1888951.22,2,3424,1
1759301.1047,42,5000-GILDANMEN-BLACK-LG,1
1455496.8675,39,UNGT1B0XL,1
1669077.55,29,022-004-002,1
1781464.5,3,3001_RED_M,1
1519422.144,29,022-017-001,1
1760559.65,41,723-M-FGR-02M-32416,1
1691096.719,3,5000_BLACK_M,1
1865795.589,3,2000_BLACK_L,1
1876995.7,3,3001_DEEP_HEATHER_3XL,1
1876995.7,3,3001_NAVY_XL,1
1034421.3147,45,3001-BLK-XL,1
794238.28853,29,022-015-005,1
794238.28853,29,002-004-003,1
1425796.1714,41,721-M-NAV-03L-00609,1
1806140.377,2,405,1
1823349.4,16,92,1
937845.643,39,UNPT5C00M,1
937845.643,39,UNPT1R00M,1
882774.18418,3,5000_WHITE_L,1
904416.9777,10,PRT-GEN-SWG560,1
1202187.101,1,3x3-white,1
71728.1509,29,022-004-003,1
1776133.20984,39,WORB2B0XS,1
1776133.20984,39,WORB2B0XS,1
1776133.20984,39,WORB2B0XS,1
1773734.2581,39,WOBF1B00M,1
1276517.48,29,007-004-005,1
777990.423,29,004-003-005,1
1700567.67,29,001-004-006,1
1203468.5118,3,3001_WHITE_L,1
1748777.11933,29,002-012-003,1
1533962.9827,6,tank_heather_grey_large,1
1224024.4476,3,3001_BLACK_S,1
1224024.4476,29,021-009-002,1
1224024.4476,3,18000_ASH_M,1
1750736.5,10,PRT-GEN-SLPGZ4,1
1286270.1122,23,1440842_IPX-TCB-CS-M,1
1499270.79639,29,002-009-004,1
1849405.3,39,UNGT1B00S,2
1849405.3,29,001-004-001,1
1849405.3,45,5000-BLK-L,1
1837041.81,39,UNPT1W00M,1
1728880.18,3,5000_ASH_S,1
1856105.143,3,3001_DARK_GREY_HEATHER_S,3
1856105.143,3,3001_DARK_GREY_HEATHER_XL,1
1856105.143,3,3001_DARK_GREY_HEATHER_L,1
1856105.143,3,3001_DARK_GREY_HEATHER_M,1
43852.8632,2,368,1
1225155.5405,10,PRT-GEN-SWG560,1
1202196.5504,3,18500_GOLD_3XL,1
1732948.244,26,180091016,1
1820427.759,39,UNGT1W2XL,1
904983.62,25,P601T_Charcoal Heather_M,1
904983.62,25,P601T_Charcoal Heather_L,2
904983.62,25,P601T_Charcoal Heather_SM,1
239561.3463,10,PRT-GEN-SRB172,1
1455496.8833,39,UNGT1B0XL,1
673233.401,16,48303,1
1727890.39,1,laptopsleeve13,1
1723126.21,29,003-002-003,1
1404488.1089,10,20596,1
1616231.2,29,022-064-006,1
1595236.163,10,PRT-GEN-SCDHOS,1
1449381.7954,29,003-016-003,1
1449381.7954,29,018-004-001,1
1449381.7954,29,022-004-003,1
1410147.20833,39,UNGT1W00S,1
1505480.22877,39,UNPT1B3XL,1
1505480.22877,39,UNPT1B3XL,1
1684236.19,29,001-009-003,1
890094.9764,39,UNPT1B3XL,1
1636046.648,3,3001_MAROON_S,1
1636046.648,3,3001_NAVY_M,1
112139.11365,3,3001_DARK_GREY_HEATHER_L,1
1734223.426,3,5000_BLACK_S,1
1782844.324,10,20596,1
643007.636,3,5000_BLACK_S,1
1286578.12749,16,47456,1
281134.5792,25,B3001_Heather Mint_SM,1
1592253.2236,16,45589,1
1627500.366,29,022-057-001,1
539511.4524,39,UNGT1B00L,1
460350.45,10,PRT-GEN-SPA23N,1
1854047.5,10,20596,1
1762208.11781,29,022-002-005,1
1762208.11781,29,022-004-005,1
611133.9011,1,mug20oztumbler,1
325160.7115,10,PRT-GEN-SCDHOS,1
325160.7115,10,PRT-GEN-SRB172,2
840243.2829,3,5000_DARK_HEATHER_5XL,1
840243.2829,3,5000_SPORT_GREY_5XL,1
427440.2583,10,20596,1
1636046.506,3,3001_DARK_GREY_HEATHER_M,1
112139.115474,3,3001_BLACK_2XL,1
1674005.16,1,mug20oztumbler,1
1674005.16,1,mug20oztumbler,1
1509902.4,25,65200_Red_SM,1
1509902.4,25,65200_Yellow_M,1
1733770.122,10,20596,1
1547430.2158,3,3001_HEATHER_RASPBERRY_L,1
1618579.12109,10,20596,1
1642292.5526,3,3001_HEATHER_CLAY_XL,1
1642292.5526,3,3001_HEATHER_SLATE_XL,1
1885398.37,43,Gildan-64000-Royal-3XL,1
1734223.439,3,5000_WHITE_2XL,1
1691922.23,9,PR_11oz_Mug,1
1836898.74,29,022-004-003,1
1836898.74,29,022-004-002,1
1673963.1375,29,001-002-002,1
1331376.241,27,BC_3001_2XL_Black,1
1464859.495,10,20596,1
1875252.17,39,UNPT1B00M,1
1875252.17,39,UNPT1W00M,1
1865795.124,3,2000_BLACK_2XL,1
1745079.202,3,2000_BLACK_XL,1
1289901.578,10,PRT-GEN-SPBSM**white,1
1825568.2737,10,20596,1
393521.3019,10,20596,1
728421.4386,3,3001_HEATHER_OLIVE_L,1
1849345.294,10,20596,2
1417929.1032,29,022-004-003,1
1828371.331,3,3001_VINTAGE_BLACK_L,1
1653503.671,29,022-004-005,1
1737956.18,10,20596,1
1827418.10507,3,3480_BLACK_M,1
1827418.10507,29,002-002-002,1
730755.989,39,UNPT5C00S,1
1712950.199,10,20596,1
239561.3478,1,laptopsleeve15,1
904416.1069,10,20596,1
1775207.245,3,3001_HEATHER_ICE_BLUE_S,1
516066.41343,29,003-004-004,1
1913985.2,29,001-006-003,1
1913985.2,10,20596,2
1913985.2,29,001-017-003,1
516066.40989,2,3422,1
516066.40989,29,003-003-002,1
324524.1533,27,BC_3001_M_Dark-Grey-Heather,1
1590759.1106,3,3001_BLACK_L,1
1590759.1106,29,022-004-003,1
1590759.1106,29,022-004-003,1
1756363.143,43,Gildan-5000-Black-XL,1
1505480.24023,39,UNGT1B2XL,1
1505480.24023,39,UNGT1B2XL,1
175607.1032,3,3001_BLACK_M,1
1361412.4788,2,3416,1
264054.8518,3,3001_KELLY_M,1
1736166.213,16,47417,1
1918749.1,29,011-004-002,1
1918749.1,29,011-006-001,1
1444561.1399,2,3417,1
1203468.5353,3,18500_BLACK_M,1
1760020.11,29,022-083-004,1
1701003.11,1,mug11oz,3
1701003.11,1,mug11oz,3
1869916.3,39,UNGT1W00M,1
1755650.92,10,20596,1
1820427.818,39,UNGT1B00L,1
1820427.818,39,UNGT1B00L,1
1513687.2714,3,3001_WHITE_M,1
1619640.83,29,016-034-002,1
1343467.1513,16,47456,1
1833631.316,29,002-002-003,1
1728779.1713,43,BellaCanvas-3001-DarkHeatherGrey-L,1
1533962.9035,6,heavyweight_black_medium,1
1653651.34,25,97300_Denim Heather_L,1
458046.11614,1,mug11oz,1
1762208.14736,29,022-002-003,1
178817.1303,29,001-009-003,1
1771325.524,1,button-round-125,3
1804576.1141,3,3001_MINT_2XL,1
1853443.33,3,3600_BLACK_XL,1
1853443.33,3,3600_HEAVY_METAL_XL,1
1788736.17,3,3001_ATHLETIC_HEATHER_XL,1
1225155.6226,10,PRT-GEN-SW23FI,1
1941493.1,42,2000-GILDAN-BLACK-MD,1
1635372.513,10,20596,1
1539484.1635,29,022-083-003,1
474066.3609,3,3005_HEATHER_TRUE_ROYAL_L,1
1225155.5333,10,PRT-GEN-SW23FI,1
131693.785,1,2x2-white,5
341999.11396,16,47219,1
1864967.1,10,20596,1
1864967.1,10,20596,1
1864967.1,1,3x3-white,1
1864967.1,1,3x3-white,1
1864967.1,1,3x3-white,1
1864967.1,1,3x3-white,1
647769.1081,29,001-002-001,1
1526053.3662,29,001-004-005,1
1905474.18,10,20596,1
1905474.18,10,20596,1
1905474.18,10,20596,1
1905474.18,10,20596,1
1041954.3415,3,3001_HEATHER_TEAM_PURPLE_L,1
1825568.1227,42,5000-GILDANMEN-NAVY-LG,1
1825568.1227,29,018-016-004,1
1893655.3,1,button-round-225,2
1736166.167,16,47456,1
1736147.1558,25,61748_Black_XXL,1
1660816.1018,1,iph7plusbt,1
1648689.561,3,3001_RED_M,1
1648689.561,3,18000_ASH_L,1
1763253.6,39,UNPT1R00M,1
628590.14204,29,022-056-002,1
628590.14204,29,022-056-002,1
712842.10413,30,47074,1
1800982.2497,3,3001_HEATHER_ICE_BLUE_2XL,1
1729056.931,3,5000_WHITE_2XL,1
1729056.931,3,5000_WHITE_2XL,1
1729056.931,3,5000_WHITE_2XL,1
1626317.195,10,20596,2
1865543.149,10,20596,1
1745204.223,39,UNPT1W00L,1
1887375.19,29,018-039-002,1
1887375.19,39,WOBF1B0XL,1
1800982.3008,3,3001_HEATHER_ICE_BLUE_XL,1
1800982.3008,3,3001_ATHLETIC_HEATHER_XL,1
1372396.3271,3,5000_BLACK_3XL,1
1862434.21,29,001-002-002,1
1732948.3412,26,180091017,1
1286578.15749,16,47417,1
1286578.15749,16,47417,1
1702637.849,3,18500_MAROON_2XL,1
1810445.13,3,3001_SOLID_BLACK_BLEND_XL,1
1810445.13,3,3001_SOLID_BLACK_BLEND_2XL,1
585954.5588,3,3001_WHITE_M,1
1806664.27,3,3001_SOLID_BLACK_BLEND_S,1
1901536.6,29,022-008-001,1
520143.702,2,3420,1
1514644.606,29,001-004-007,1
1845756.5,23,1747723_IPXSM-FC-CS-C,1
1845756.5,23,1747722_IPXS-FC-CS-C,1
1710233.84,16,47456,1
1975875.2,29,003-005-002,1
1975875.2,29,003-005-003,1
1795244.445,3,18500_LIGHT_PINK_L,1
1720307.1153,3,5000_PURPLE_L,1
1919508.3,42,11730-DELTA-BLACK-SM,1
1053891.459,25,N3600_black_L,1
1819400.1527,29,002-009-003,1
1819400.1527,29,002-011-003,1
1819400.1527,29,002-015-003,1
1937738.2,10,PRT-GEN-SPF6TZB,1
1937738.2,16,49311,1
1570243.121,10,PRT-GEN-SOG16,1
1286578.15182,16,47456,2
781119.827,3,3001_SOLID_BLACK_BLEND_L,1
1657988.651,16,49049,1
1696881.16,29,022-004-002,1
1696881.16,29,022-025-002,1
1839229.11,16,49000,1
1735793.1114,16,25250,1
1678189.558,29,001-004-003,1
1569087.437,29,001-002-003,1
1514024.853,43,BellaCanvas-3001-White-L,1
1686840.109,39,UNGT1B2XL,1
1930138.3,3,3001_SOLID_BLACK_BLEND_L,1
1138536.113,3,5000_BLACK_S,1
1810946.611,3,18000_BLACK_L,1
1354270.513,25,B3001_Heather Grey_L,1
1032666.807,39,UNNT2B00L,1
1808923.284,3,3001_SOLID_BLACK_BLEND_2XL,1
1808923.284,3,3001_SOFT_PINK_2XL,1
389618.1198,3,3001_WHITE_XL,1
1768838.91,2,3423,1
1751533.273,10,20596,1
1800982.5286,3,3001_PINK_L,1
1834033.122,39,UNGS1B00M,1
1834033.122,3,3001_WHITE_L,1
1880108.278,41,721-M-BLK-1XL-00575,1
1744250.1555,2,3417,1
1409941.17521,3,5000_BLACK_XL,1
1736147.1574,39,UNGH1B3XL,1
1448813.2201,43,Gildan-5000-White-S,1
1448813.2201,43,Gildan-5000-White-L,1
1859312.1,6,mens_white_xxxl,1
474066.3381,3,3005_HEATHER_TRUE_ROYAL_M,1
1581320.2428,3,3001_NAVY_L,1
490761.801,3,3001_BLACK_XL,1
1856801.5,39,MEGP1B3XL,1
1764038.4,39,WORB2B00M,1
1742928.87,39,BBSS1W18M,1
1848587.169,10,20596,1
1712746.31,26,180091013,1
1712746.31,26,180091014,1
1783409.1695,39,UNPT1B0XL,1
1476370.6905,29,001-004-002,1
355508.4538,3,3001_CARDINAL_XL,1
1745724.828,29,022-009-004,1
1862618.5,41,723-M-BLK-2XL-01147,1
813318.1234,10,20596,1
1692237.1319,2,368,1
1648689.608,3,3001_BLACK_HEATHER_3XL,1
1648689.608,3,3001_BLACK_HEATHER_L,1
868035.6466,1,sock-medium,1
1286270.1111,10,PRT-GEN-SLPG6GC,1
1286270.1111,10,PRT-GEN-SLPG6GC,1
1286270.1111,10,PRT-GEN-SLPG6GC,1
239561.3487,10,PRT-GEN-SRB172,1
1863853.474,7,T-PTFYPC2436,1
1855358.13,3,5000_LIGHT_PINK_XL,1
1752041.414,27,LS_14004_L_Black,1
1752041.414,27,BC_3480_M_White,1
1752041.414,27,BC_3001_M_Black,1
979572.12,39,UNGH1B00S,1
411890.282,39,UNPT1B0XL,1
411890.292,39,UNPT1B00L,1
1476351.8031,29,001-004-004,1
